Year,Survey,Date,og_Ordinal,og_doy,RepDate,Ordinal,doy,NPGO,Station,Missing Data,Series,Bay,ChanShoal,Depth,Secchi,SalinSurf,TempSurf,Net,Tow,Time,Tide,Direction,TowVolume,AMESHAAge0,AMESHAAge1+,AMESHA,ARRGOB,BARSUR,BATRAY,BAYGOB,BAYPIP,BIGSKA,BLABUL,BLACRA,BLAPER,BLAROC,BLUEGI,BONSCU,BROBUL,BROROC,BROSMO,BROSSH,CALGRU,CALHAL,CALLIZ,CALSUR,CALTON,CHACAT,CHAGOB,CHEGOB,CHISAL,COHSAL,COMCAR,DELSMEAge0,DELSMEAge1+,DELSME,DIATUR,DOVSOL,DWAPER,ENGSOL,EULACH,FISHUN,GOLDFI,GOLSHI,GRESTU,GRESUN,HARDHE,HORTUR,JACKSMAge0,JACKSMAge1+,JACKSM,JACMAC,KELGRE,LARBAS,LEOSHA,LINGCO,LONSMEAge0,LONSMEAge1+,LONSME,MISSIL,NIGSME,NORANCAge0,NORANCAge1+,NORANC,PACBAR,PACCMA,PACERA,PACHERAge0,PACHERAge1+,PACHER,PACLAM,PACPOM,PACSAN,PACSARAge0,PACSARAge1+,PACSAR,PACSLA,PACSSC,PACTOM,PILPER,PLAMID,PRISCU,PUMPKI,QUEENF,RAIKIL,RAITRO,REDSUN,REDSUR,RIVLAM,ROCSPP,RUBSEA,SACBLA,SACPIK,SACSUC,SADGUN,SANSOL,SHASPP,SHIGOB,SHIPERAge0,SHIPERAge1+,SHIPER,SHOGOB,SHOSNA,SILSUR,SPESAN,SPIDOG,SPLITTAge0,SPLITTAge1+,SPLITT,STAFLO,STRBASAge0,STRBASAge1+,STRBAS,SUNSPP,SURSME,THORNB,THRSHA,THRSHR,THRSTI,TOPSMEAge0,TOPSMEAge1+,TOPSME,TUBESN,TULPER,WAKASA,WALSURAge0,WALSURAge1+,WALSUR,WHICAT,WHICROAge0,WHICROAge1+,WHICRO,WHISEA,WHISEB,WHISME,WHISTU,YELGOB,SUM_ALLFISH
1988,1,1/11/1988,30011,11,1/7/1988,30007,7,1.1,109,0,1,2,1,18.6,90,26.72,9.7,1,1,13:51,1,2,4947,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,4,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,16
1988,2,2/4/1988,30035,35,2/4/1988,30035,35,0.8,109,0,1,2,1,18,50,28.08,10.7,1,1,9:29,1,1,4876.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,67
1988,3,3/14/1988,30074,74,3/10/1988,30070,70,1,109,0,1,2,1,18.3,105,29.89,13.9,1,1,14:23,2,1,4523.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
1988,4,4/4/1988,30095,95,4/6/1988,30097,97,1.6,109,0,1,2,1,19.5,110,30.03,15.5,1,1,11:41,1,2,3852.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,387,535,922,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,931
1988,5,5/3/1988,30124,124,5/4/1988,30125,125,1.8,109,0,1,2,1,19.8,60,29.16,14.4,1,1,14:02,1,1,4773.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,331,385,0,0,0,21,0,21,0,12,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,76,76,0,0,0,0,0,517
1988,6,6/3/1988,30155,155,6/6/1988,30158,158,1.7,109,0,1,2,1,17.1,60,29.82,17.4,1,1,10:24,1,2,6337.4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,222,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,9,9,0,0,0,0,0,307
1988,7,6/30/1988,30182,182,7/1/1988,30183,183,1.7,109,0,1,2,1,15.2,45,29.24,19,1,1,8:21,3,3,6831.9,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,291,364,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,9,10,0,0,0,0,0,396
1988,8,8/2/1988,30215,215,8/3/1988,30216,216,1.4,109,0,1,2,1,19.2,50,32.59,18.9,1,1,13:52,1,1,7538,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,131,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,4,6,0,0,0,0,0,278
1988,9,9/8/1988,30252,252,9/8/1988,30252,252,1.3,109,0,1,2,1,18.6,50,31.2,18.3,1,1,9:04,1,1,6160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,51,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,9,9,0,0,0,0,0,561
1988,10,10/4/1988,30278,278,10/4/1988,30278,278,1.1,109,0,1,2,1,19.5,160,30.69,16.8,1,1,11:45,2,1,6554.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,140,0,140,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,151
